"Ω", "Ohm"
"Ωm", "Ohm·m"
"/h", "1/h"
"/K", "1/K"
"/m", "1/m"
"/m²", "1/m²"
"/min", "1/min"
"/s", "1/s"
"Bit", "bit"
"cm2", "cm²"
"cm3", "cm³"
"cm4", "cm⁴"
"Days", "day"
"dBmW", "dBm"
"ftlbs/sec", "ft·lbs/sec"
"GJ/year", "GJ/yr"
"g/m2", "g/m²"
"g/m3", "g/m³"
"gon", "°"
"grad", "°"
"Grad", "°"
"inch", "in"
"J/(kg·K)", "J/kg·K"
"kΩ", "kOhm"
"kg CO2eq", "kg CO₂ eq"
"kg CO2eq.", "kg CO₂ eq"
"kg CO2 eq.", "kg CO₂ eq"
"kg CO2 eq", "kg CO₂ eq"
"kg PO43- eq", "kg PO₄³⁻ eq"
"kg (PO4)3- eq", "kg PO₄³⁻ eq"
"kg (PO4)3- eq.", "kg PO₄³⁻ eq"
"kg (PO4)^(3-) equiv.", "kg PO₄³⁻ eq"
"kg (PO4)^(3-) eq", "kg PO₄³⁻ eq"
"kg/(m.s.Pa)", "kg/m/s/Pa"
"kg/m2", "kg/m²"
"kg/m3", "kg/m³"
"kg/100 m", "kg/100m"
"KN", "kN"
"KN/m2", "kN/m²"
"KN/m3", "kN/m³"
"kvar", "kVAR"
"kW/ton", "kW/tonne"
"L", "l"
"L/h", "l/h"
"L/min", "l/min"
"L/s", "l/s"
"m2", "m²"
"m3", "m³"
"m3/h", "m³/h"
"m3/h/m2 @ 50Pa", "m³/(h·m²) @ 50Pa"
"m3/hr/m2 @ 50Pa", "m³/(h·m²) @ 50Pa"
"mg/m2/h", "mg/m²/h"
"m3/m2 s Pa", "m³/m²sPa"
"mg/m3", "mg/m³"
"Milligram", "mg"
"m²K/W", "m²·K/W"
"mL", "ml"
"mm2", "mm²"
"mm3", "mm³"
"mm4", "mm⁴"
"mm/(m.K)", "mm/(m·K)"
"mm/(m⋅K)", "mm/(m·K)"
"mNHN", "?"
"MN/m2", "MN/m²"
"m/Nm²", "m/(N·m²)"
"MN/m3", "MN/m³"
"(m².K)/W", "m²·K/W"
"(m²·K)/W", "m²·K/W"
"N/mm2", "N/mm²"
"ohm", "Ohm"
"Ohm-m", "Ohm·m"
"Ohm⋅m", "Ohm·m"
"Pa-s", "Pa·s"
"Pa⋅s", "Pa·s"
"psi (lbf/in²)", "psi"
"sec", "s"
"ton", "tonne"
"ton/h", "tonne/h"
"W/m°K", "W/(m·K)"
"W/mK", "W/(m·K)"
"W/m²K", "W/(m²·K)"
"W/m²K²", "W/(m²·K²)"
"W/(m.K)", "W/(m·K)"
"W/(m².K)", "W/(m²·K)"
"W/(m².K²)", "W/(m²·K²)"
"Year", "yr"