Code,Name,Symbol,QUDT
?,[unknown],NULL,NULL
',arc minute,',ARCMIN
%,percent,NULL,PERCENT
% m/md,% m/md,NULL,NULL
%/100%,%/100%,NULL,NULL
%/K,%/K,NULL,NULL
%/s,percent per second,NULL,NULL
%obsc/ft,percent obscuration per foot,NULL,NULL
%obsc/m,percent obscuration per metre,NULL,NULL
%RH,percent relative humidity,NULL,NULL
(m²·K)/W,(m²·K)/W,NULL,NULL
°,grad (angel degree),NULL,GRAD
°C,celsius,NULL,NULL
°C/h,degrees celsius per hour,NULL,NULL
°C/min,degrees celsius per minute,NULL,NULL
°daysC,degree days celsius,NULL,NULL
°daysF,degree days fahrenheit,NULL,NULL
°dH,°dH,NULL,NULL
°F,fahrenheit,NULL,NULL
°F/h,degrees fahrenheit per hour,NULL,NULL
°F/min,degrees fahrenheit per minute,NULL,NULL
µA,microampere,NULL,MicroA
µF,microfarad,NULL,MicroFARAD
µg/m³,micrograms per cubic metre,NULL,MicroGM-PER-M3
µH,microhenry,NULL,MicroH
µm,micrometre,NULL,MicroM
µs,microsecond,NULL,MicroSEC
µS/cm,microsiemens per centimetre,NULL,MicroS-PER-CentiM
1/h,per hour,NULL,NULL
1/K,per kelvin,NULL,PER-K
1/m,per metre,NULL,PER-M
1/m²,per square metre,NULL,PER-M2
1/min,per minute,NULL,NULL
1/s,per second,NULL,NULL
A,ampere,NULL,A
A/°C,ampere per degree celsius,NULL,A-PER-DEG_C
A/cm,ampere per centimetre,NULL,A-PER-CentiM
A/cm²,ampere per square centimetre,NULL,A-PER-CentiM2
A/J,ampere per joule,NULL,A-PER-J
A/m,ampere per metre,NULL,A-PER-M
A/m²,ampere per square metre,NULL,A-PER-M2
A/mm,ampere per millimetre,NULL,A-PER-MilliM
A/mm²,ampere per square millimetre,NULL,A-PER-MilliM2
A/(m²·K²),ampere per square metre square kelvin,NULL,A-PER-M2-K2
A/rad,ampere per radian,NULL,A-PER-RAD
ACH,air changes per hour,NULL,NULL
acre,acre,NULL,AC
AED,uae dirham,NULL,NULL
AFN,afghani,Af,AFN
Ah,ampere hour,NULL,A-HR
AirWatt,AirWatt,NULL,NULL
ALL,lek,NULL,Lek
Am²,ampere square metre,NULL,A-M2
Am²/Js,ampere square metre per joule second,NULL,A-M2-PER-J-SEC
AMD,armenian dram,Դ,AMD
Ao,angstrom,Å,ANGSTROM
AOA,kwanza,Kz,Kwanza
ar,are,a,ARE
ARS,argentine peso,NULL,ARS
As,ampere second,NULL,A-SEC
At,ampere turn,At,AT
atm,atmosphere,NULL,ATM
AUD,australian dollar,NULL,AUD
AWG,aruban guilder florin,ƒ,AWG
AX,AX,NULL,NULL
AZN,azerbaijanian manat,ман,AZN
BAM,konvertibilna marka,КМ,NULL
bar,bar,NULL,BAR
BBD,barbados dollar,NULL,BBD
bbl,barrel,NULL,BBL
Bd,Bd,NULL,NULL
BDT,taka,৳,BDT
Bft,beaufort,NULL,BFT
BGN,bulgarian lev,лв,BulgarianLev
BHD,bahraini dinar,NULL,BHD
BIF,burundi franc,NULL,BurundianFranc
bit,bit,NULL,BIT
bit/s,bit per second,NULL,BIT-PER-SEC
BMD,bermudian dollar,NULL,BermudaDollar
BND,brunei dollar,NULL,BruneiDollar
BOB,boliviano,NULL,Boliviano
Bq,becquerel,NULL,BQ
BRL,brazilian real,R$,BrazilianReal
BSD,bahamian dollar,NULL,BSD
BTN,ngultrum,NULL,Ngultrum
BTU,british thermal unit,NULL,BTU_IT
BTU/h,btus per hour,NULL,BTU_IT-PER-HR
BTU/lb,btus per pound,NULL,BTU_IT-PER-LB
BTU/lb dry,btus per pound dry air,NULL,NULL
BTU/Wh,energy efficiency ratio,EER,NULL
BWP,pula,NULL,Pula
BYR,belarussian ruble,Br,BYR
byte,byte,NULL,BYTE
BZD,belize dollar,NULL,BeilzeDollar
C,coulomb,NULL,C
C·m,coulomb metre,NULL,C-M
c/h,c/h,NULL,NULL
c/min,c/min,NULL,NULL
CAD,canadian dollar,NULL,CAD
cal,calorie,NULL,CAL_IT
cal/cm²,calorie per square centimetre,NULL,NULL
cal/g,calorie per gram,NULL,CAL_IT-PER-GM
cd,candela,NULL,CD
cd/ft²,candelas per square foot,NULL,NULL
cd/m²,candelas per square metre,NULL,CD-PER-M2
CDF,congolese franc,NULL,FrancCongolais
cfh,cubic feet per hour,NULL,NULL
cfm,cubic feet per minute,NULL,NULL
cfs,cubic feet per second,NULL,NULL
CHF,swiss franc,SFr,SwissFranc
cL,centilitre,NULL,CentiL
CLP,chilean peso,NULL,ChileanPeso
cm,centimetre,NULL,CentiM
cm²,square centimetre,NULL,CentiM2
cm³,cubic centimetre,NULL,CentiM3
cm⁴,centimetre to the fourth power,NULL,NULL
cmH₂O,centimetre of water,NULL,CentiM_H2O
cmHg,centimetre of mercury,NULL,CentiM_HG
cm²/m,square centimetre per metre,NULL,NULL
CNY,chinese yuan,元,NULL
COP,coefficient of performance,NULL,NULL
cph,cycles per hour,NULL,NULL
cpm,cycles per minute,NULL,NULL
CRC,costa rican colon,₡,CostaRicanColon
cs,hundredths second,NULL,NULL
cSt,centistokes,NULL,CentiST
CTUe,comparative toxic units for ecotoxicity potential,NULL,NULL
CTUh,comparative toxic units for human toxicity potential,NULL,NULL
CUP,cuban peso,NULL,CubanPeso
CVE,cape verde escudo,NULL,CapeVerdeEscudo
CYP,cyprus pound,NULL,CyprusPound
CZK,czech koruna,Kč,CzechKoruna
day,day,NULL,DAY
dB,decibel,dB,DeciB
dB(A),dB(A),NULL,NULL
dB(A) re 1 pW,dB(A) re 1 pW,NULL,NULL
dB(C),dB(C),dBc,DeciB_C
dBµV,db microvolt,NULL,NULL
dBi,dBi,NULL,NULL
dBmV,db millivolt,NULL,NULL
dBm,decibel-milliwatts,NULL,DeciB_M
DCIE,data center infrastructure efficiency,NULL,NULL
deg,degrees angular,NULL,DEG
degPh,degrees phase,NULL,NULL
DJF,djibouti franc,NULL,DjiboutiFranc
DKK,danish krone,kr,DansihKrone
dm,decimetre,NULL,DeciM
DOP,dominican peso,NULL,DominicanPeso
DPI,dots pre inch,NULL,DPI
ds,tenths second,NULL,NULL
DZD,algerian dinar,NULL,DZD
EGP,egyptian pound,NULL,EgyptianPound
ERN,nakfa,Nfk,Nakfa
ETB,ethiopian birr,NULL,EthiopianBirr
EUR,euro,€,Euro
F,farad,NULL,FARAD
fc,footcandle,NULL,FC
FJD,fiji dollar,NULL,FijiDollar
FKP,falkland islands pound,NULL,FalklandIslandsPound
fl oz,fluid ounce,NULL,NULL
fnu,formazin nephelometric unit,NULL,NULL
ft,foot,NULL,FT
ft/min,feet per minute,NULL,FT-PER-MIN
ft/s,feet per second,NULL,FT-PER-SEC
ft²,square foot,NULL,FT2
ft³,cubic foot,NULL,FT3
ft³ gas,cubic feet natural gas,NULL,NULL
ftlbs/sec,foot pounds per second,NULL,FT-LB_F-PER-SEC
g,gram,NULL,GM
g/cm³,gram per cubic centimetre,NULL,GM-PER-CentiM3
g/h,gram per hour,NULL,GM-PER-HR
g/kg,gram per kilogram,NULL,GM-PER-KG
g/l,gram per litre,NULL,GM-PER-L
g/m²,gram per square metre,NULL,GM-PER-M2
g/m³,gram per cubic metre,NULL,GM-PER-M3
g/min,gram per minute,NULL,GM-PER-MIN
g/s,gram per second,NULL,GM-PER-SEC
gal,gallon,NULL,GAL_IMP
gal/hr,gallons per hour,gph,NULL
gal/min,gallons per minute,NULL,NULL
galUK,imperial gallon,NULL,GAL_UK
galUK/min,imperial gallons per minute,NULL,GAL_UK-PER-MIN
GB,gigabyte,NULL,GigaBYTE
Gbit/s,Gigabits per second,NULL,NULL
Gbit/sec,Gbit/sec.,NULL,NULL
GBP,pound sterling,£,PoundSterling
GEL,lari,ლ,Lari
gH₂O/kgAir,grams of water per kilogram dry air,NULL,NULL
GHS,cedi (ghana),₵,Cedi
GHz,GHz,NULL,NULL
GIP,gibraltar pound,NULL,GibraltarPound
GJ,gigajoule,NULL,NULL
GJ/h,gigajoule per hour,NULL,NULL
GJ/jaar,GJ/jaar,NULL,NULL
GJ/year,Gigajoule per year,NULL,NULL
GMD,dalasi,NULL,Dalasi
GNF,guinea franc,NULL,GuineaFranc
GTQ,quetzal,NULL,NULL
GW,gigawatt,NULL,NULL
GYD,guyana dollar,NULL,GuyanaDollar
h,h,NULL,NULL
H,henry,NULL,H
hft³,hecto cubic foot,NULL,NULL
HKD,hong kong dollar,NULL,HongKongDollar
hL,hectolitre,NULL,HectoL
hL/s,hectolitres per second,NULL,NULL
HNL,lempira,NULL,Lempira
hp,horsepower,NULL,HP
hPa,hectopascal,NULL,HectoPA
hph,horsepower hour,NULL,NULL
hr,hour,h,HR
HRC,HRC,NULL,NULL
HRK,croatian kuna,Kn,CroatianKuna
HTG,gourde,NULL,HaitiGourde
HUF,forint,NULL,Forint
hundred cubic feet natural gas,hundred cubic feet natural gas,NULL,NULL
Hz,hertz,NULL,HZ
IDR,rupiah,Rp,Rupiah
ILS,new israeli shekel,₪,NewIsraeliShekel
Imp/kWh (kvarh),Imp/kWh (kvarh),NULL,NULL
in,inch,NULL,IN
in/wc,inch of water,inH₂O,IN_H2O
in²,square inch,NULL,IN2
in³,cubic inch,NULL,IN3
inHg,inches of mercury,NULL,IN_HG
INR,indian rupee,₹,IndianRupee
IQD,iraqi dinar,NULL,IraqiDinar
IRR,iranian rial,NULL,IranianRial
ISK,iceland krona,Kr,IcelandKrona
J,joule,NULL,J
J/K,joule per kelvin,NULL,J-PER-K
J/g,joule per gram,NULL,J-PER-GM
J/h,joule per hour,NULL,J-PER-HR
J/kg,joule per kilogram,NULL,J-PER-KiloGM
J/kg dry,joule per kilogram dry air,NULL,NULL
J/kg·K,joule per kilogram kelvin,NULL,J-PER-KiloGM-K
J/m²,joule per square metre,NULL,J-PER-M2
Jaar,Jaar,NULL,NULL
JMD,jamaican dollar,NULL,JamaicanDollar
JOD,jordanian dinar,NULL,JordanianDinar
JPY,yen,¥,JapaneseYen
Js,joule second,NULL,J-SEC
K,kelvin,NULL,K
K/h,kelvin per hour,NULL,K-PER-HR
K/min,kelvin per minute,NULL,K-PER-MIN
K/s,kelvin per second,NULL,K-PER-SEC
kA,kA,NULL,KiloA
kB,kilobyte,NULL,KiloBYTE
kBit/s,kBit/s,NULL,KiloBIT-PER-SEC
kBq U235 eq,kilobecquerel U235 equivalent,NULL,NULL
kBTU,kilobtu,NULL,NULL
kBTU/ft²,kilobtu per square foot,NULL,NULL
kBTU/h,kilobtus per hour,NULL,NULL
kBTU/h/ft²,kilobtus per hour per square foot,NULL,NULL
kByte,kByte,NULL,NULL
kcfm,kilocubic feet per minute,NULL,NULL
kcmil,kcmil,NULL,NULL
KES,kenyan shilling,Sh,KenyanShilling
kg,kilogram,NULL,KiloGM
kg C,kilogram biogenic carbon,NULL,NULL
kg CFC11 eq,kilogram CFC11 equivalent,NULL,NULL
kg CO₂ eq,kilogram CO2 equivalent,NULL,NULL
kg ethene eq,kilogram ethene equivalent,NULL,NULL
kg N eq,kilogram nitrogen equivalent,NULL,NULL
kg NMVOC eq,kilogram NMVOC equivalent,NULL,NULL
kg O₃ eq,kilogram ozone equivalent,NULL,NULL
kg PO₄³⁻ eq,kilogram PO43 equivalent,NULL,NULL
kg Sb eq,kilogram antimony equivalent,NULL,NULL
kg SO2 eq,kilogram SO2 equivalent,NULL,NULL
kg/24h,kilogram per day,NULL,KiloGM-PER-DAY
kg/100m,kg/100m, NULL,NULL
kg/cm/m²,kg/cm/m²,NULL,NULL
kg/dm³,kilogram per cubic decimetre,NULL,NULL
kg/h,kilogram per hour,NULL,KiloGM-PER-HR
kg/km,kilogram per kilomter,NULL,KiloGM-PER-KiloGM
kg/m,kilogram per metre,NULL,KiloGM-PER-M
kg/m/s/Pa,kilogram per metre second pascal,NULL,NULL
kg/m²,kilogram per square metre,NULL,KiloGM-PER-M2
kg/m³,kilogram per cubic metre,NULL,KiloGM-PER-M3
kg/min,kilogram per minute,NULL,KiloGM-PER-MIN
kg/s,kilogram per second,NULL,KiloGM-PER-SEC
kg·m²,kilogram square metre,NULL,KiloGM-M2
kgal,kilogallon,NULL,NULL
KGS,som,NULL,NULL
KHR,riel,NULL,Riel
kHz,kilohertz,NULL,KiloHZ
kJ,kilojoule,NULL,KiloJ
kJ/K,kilojoule per degree kelvin,NULL,KiloJ-PER-K
kJ/h,kilojoule per hour,NULL,NULL
kJ/kg,kilojoule per kilogram,NULL,KiloJ-PER-KiloGM
kJ/kg dry,kilojoule per kilogram dry air,NULL,NULL
kJ/kg·K,kilojoule per kilogram kelvin,NULL,KiloJ-PER-KiloGM-K
kJ/m²,kJ/m²,NULL,NULL
kJ/Ohm,kJ/Ohm,NULL,NULL
kL,kilolitre,NULL,KiloL
klb,kilopound,NULL,NULL
klb/h,kilopounds per hour,NULL,NULL
km,kilometre,NULL,KiloM
km/h,kilometre per hour,NULL,KiloM-PER-HR
km/s,kilometre per second,NULL,KiloM-PER-SEC
km²,square kilometre,NULL,NULL
kN,kilonewton,NULL,KiloN
kN/m,kilonewton per metre,NULL,NULL
kN/m²,kilonewton per square metre,NULL,NULL
kN/m³,kilonewton per cubic metre,NULL,NULL
knot,knot,NULL,KN
kOhm,kiloohm,kΩ,KiloOHM
kPa,kilopascal,NULL,KiloPA
kPa·s/m³,kilo pascal second per cubic metre,NULL,
KPW,north korean won,NULL,NorthKoreanWon
KRW,south korean won,₩,SouthKoreanWon
kV,kilovolt,NULL,KiloV
kVA,kilovolt ampere,NULL,KiloV-A
kVAh,kilovolt ampere hour,NULL,KiloV-A-HR
kVAR,kilovolt ampere reactive,NULL,KiloV-A_Reactive
kVARh,kilovolt ampere reactive hour,NULL,KiloV-A_Reactive-HR
kW,kilowatt,NULL,KiloW
kW/(m³/s),kW/(m³/s),NULL,NULL
kW/ft²,kilowatts per square foot,NULL,NULL
kW/gal/min,kilowatts per gallons per minute,NULL,NULL
kW/kcfm,kilowatts per kilocubic feet per minute,NULL,NULL
kW/m²,kilowatts per square metre,NULL,NULL
kW/tonne,kilowatt per tonne,NULL,NULL
KWD,kuwaiti dinar,NULL,KuwaitiDinar
kWh,kilowatt hour,NULL,KiloW-HR
kWh/ft²,kilowatt hours per square foot,NULL,NULL
kWh/m²,kilowatt hours per square metre,NULL,KiloW-HR-PER-M2
kWp,kWp,NULL,NULL
KYD,cayman islands dollar,NULL,CaymanIslandsDollar
KZT,tenge,〒,Tenge
l,litre,NULL,L
l/h,litre per hour,NULL,L-PER-HR
l/min,litre per minute,NULL,L-PER-MIN
l/s,litre per second,NULL,L-PER-SEC
LAK,kip,₭,NULL
lb,pound,NULL,LB
lb/h,pound per hour,NULL,LB-PER-HR
lb/min,pound per minute,NULL,LB-PER-MIN
lb/s,pound per second,NULL,LB-PER-SEC
lbf,pound force,NULL,LB_F
LBP,lebanese pound,NULL,LebanesePound
LKR,sri lanka rupee,Rs,SriLankaRupee
lm,lumen,NULL,LM
lm/W,lm/W,NULL,LM-PER-W
LRD,liberian dollar,NULL,LiberianDollar
LSL,loti,NULL,Loti
lx,lux,NULL,LUX
LYD,libyan dinar,NULL,LibyanDinar
m,metre,NULL,M
m rad,m rad,NULL,NULL
m/h,metre per hour,NULL,M-PER-HR
m/min,metre per minute,NULL,M-PER-MIN
m/Nm²,metre per newton square metre,NULL,NULL
m/s,metre per second,NULL,M-PER-SEC
m/s²,metre per square second,NULL,M-PER-SEC2
m²,square metre,NULL,M2
m²/h,square metre per hour,NULL,NULL
m²/l,square metre per litre,NULL,NULL
m²/m,square metre per metre,NULL,NULL
m²/N,square metre per newton,NULL,M2-PER-N
m²K/W,square metre kelvin per watt,NULL,NULL
m²/s,square metre per second,NULL,M2-PER-SEC
m³,cubic metre,NULL,M3
m⁴,metre to the fourth power,NULL,M4
m³ gas,cubic metre natural gas,NULL,NULL
m³/h,cubic metre per hour,NULL,M3-PER-HR
m³/(h·m²) @ 50Pa,cubic metre per hour per square metre at 50 pascal,NULL,NULL
m³/m,cubic metre per metre,NULL,M3-PER-M
m³/m²h50Pa,m³/m²h50Pa,NULL,NULL
m³/m²sPa,cubic metre per square metre second pascal,NULL,NULL
m³/min,cubic metre per minute,NULL,M3-PER-MIN
m³/s,cubic metre per second,NULL,M3-PER-SEC
mA,milliampere,NULL,MilliA
MAD,moroccan dirham,NULL,MoroccanDirham
mAh,mAh,NULL,MilliA-HR
MB,megabyte,NULL,NULL
mbar,millibar,NULL,MilliBAR
Mbit/s,Mbit/s,NULL,MegaBIT-PER-SEC
MBTU,megabtu,MMBTU,NULL
MBTU/ft²,megabtu per square foot,NULL,NULL
MBTU/h,megabtus per hour,MMBTU/h,NULL
Mbyte,Mbyte,NULL,MegaBYTE
MDL,moldavian leu,NULL,MoldovanLeu
Megapixel,Megapixel,NULL,NULL
mg,milligram,NULL,MilliGM
mg/l,milligram per litre,NULL,MilliGM-PER-L
mg/dm²,milligram per square decimetre,NULL,NULL
mg/kg,milligram per kilogram,NULL,MilliGM-PER-KG
mg/m²/h,milligram per square metre per hour,NULL,NULL
mg/m³,milligram per cubic metre,NULL,MilliGM-PER-M3
MGA,malagasy ariary,NULL,MalagasyAriary
mH,millihenry,NULL,MilliH
mH2O,mH2O,NULL,NULL
MHz,megahertz,NULL,MegaHZ
mile,mile,NULL,MI
mile²,square mile,NULL,MI2
million cubic feet natural gas,million cubic feet natural gas,NULL,NULL
min,minute,NULL,MIN
MJ,megajoule,NULL,MegaJ
MJ/K,megajoule per degree kelvin,NULL,MegaJ-PER-K
MJ/ft²,megajoule per square foot,NULL,NULL
MJ/h,megajoule per hour,NULL,NULL
MJ/kg dry,megajoule per kilogram dry air,NULL,NULL
MJ/m²,megajoule per square metre,NULL,MegaJ-PER-M2
MKD,denar,ден,Denar
ml,millilitre,NULL,MilliL
mL/s,millilitre per second,NULL,MilliL-PER-SEC
mm,millimetre,NULL,MilliM
mm/m,millimetre per metre,NULL,NULL
mm/min,millimetre per minute,NULL,MilliM-PER-MIN
mm/s,millimetre per second,NULL,MilliM-PER-SEC
mm/(m·K),mm/(m·K),NULL,NULL
mm²,square millimetre,NULL,MilliM2
mm²/m,square millimetre per metre,NULL,NULL
mm³,cubic millimetre,NULL,MilliM3
mm⁴,millimetre to the fourth power,NULL,MilliM4
mmHg,millimetre of mercury,NULL,MilliM_HG
MMK,kyat,NULL,Kyat
MNT,tugrik,₮,NULL
MN/m²,meganewton per square metre,NULL,NULL
MN/m³,meganewton per cubic metre,NULL,NULL
mo,julian month,NULL,MO
mOhm,mOhm,NULL,NULL
MOhm,MOhm,NULL,MegaOHM
mol,mol,NULL,MOL
mol H+ eq,increase in hydrogen ion concentration,NULL,NULL
mol N eq,mol nitrogen equivalent,NULL,NULL
mol/l,mol per litre,NULL,MOL-PER-L
mol/(m·s·Pa),mol per metre second pascal,NULL,NULL
mol/m²,mol per square metre,NULL,MOL-PER-M2
mol/m²/d,mol per square metre per day,NULL,MOL-PER-M2-DAY
mol/(m³·Pa),mol per cubic metre pascal,NULL,MOL-PER-M3-PA
mol/m²/s,mol per square metre per second,NULL,MOL-PER-M2-SEC
mol/m³,mol per cubic metre,NULL,MOL-PER-M3
Month,Month,NULL,MO
MOP,pataca,NULL,Pataca
MP,MP,NULL,NULL
MPa,megapascal,NULL,MegaPA
mph,miles per hour,NULL,NULL
MRO,ouguiya,UM,NULL
ms,millisecond,NULL,MilliSEC
mS/cm,millisecond per centimetre,NULL,MilliSEC-PER-CentiM
MUR,mauritius rupee,NULL,MauritiusRupee
mV,millivolt,NULL,MilliV
MV,megavolt,NULL,MegaV
MVA,megavolt ampere,NULL,MegaV-A
MVAh,megavolt ampere hour,NULL,MegaV-A-HR
MVAR,megavolt ampere reactive,NULL,MegaV-A_Reactive
MVARh,megavolt ampere reactive hour,NULL,MegaV-A_Reactive-HR
MVR,rufiyaa,NULL,Rufiyaa
mW,milliwatt,NULL,MilliW
MW,megawatt,NULL,MegaW
MWh,megawatt hour,NULL,MegaW-HR
MWh/ft²,megawatt hours per square foot,NULL,NULL
MWh/m²,megawatt hours per square metre,NULL,NULL
MWK,kwacha,MK,NULL
MXN,mexican peso,NULL,MexicanPeso
MYR,malaysian ringgit,RM,MalaysianRinggit
MZN,metical,MTn,NULL
mΩ,milliohm,mΩ,NULL
MΩ,megaohm,MΩ,MegaOHM
N,newton,NULL,N
N/m,newton per metre,NULL,N-PER-M
N/m²,newton per square metre,NULL,N-PER-M2
N/mm,newton per millimetre,NULL,N-PER-MilliM
N/mm²,newton per square millimetre,NULL,N-PER-MilliM2
NAD,namibian dollar,NULL,NamibianDollar
NGN,naira,₦,Naira
NIO,cordoba oro,C$,CordobaOro
nm,nm,NULL,NULL
Nm,newton metre,NULL,N-M
N·m²/rad,newton square meter per radion,NULL,NULL
nmi,nmi,NULL,NULL
NOK,norwegian krone,NULL,NorwegianKrone
NPR,nepalese rupee,NULL,NepaleseRupee
ns,nanosecond,NULL,NULL
Ns,newton second,NULL,NULL
ntu,nephelometric turbidity unit,NULL,NTU
NZD,new zealand dollar,NULL,NewZealandDollar
Ohm,ohm,Ω,OHM
Ohm/km,ohm per kilometre,NULL,NULL
Ohm·m,ohm metre,NULL,OHM-M
OMR,rial omani,NULL,OmaniRial
opm,opm,NULL,NULL
oz,ounce,NULL,OZ
Pa,pascal,NULL,PA
PAB,balboa,NULL,PAB
Pa·s,pascal second,NULL,PA-SEC
Pa·√m,Pascal Square Root Metre,NULL,PA-M0dot5
PB,petabyte,NULL,PetaBYTE
PEN,nuevo sol,NULL,NuevoSol
pf,power factor,NULL,NULL
PGK,kina,NULL,Kina
pH,ph,NULL,NULL
phot,phot,NULL,NULL
PHP,philippine peso,₱,PhilippinePeso
PKR,pakistan rupee,₨,PakistanRupee
PLN,pzloty,zł,NULL
ppb,parts per billion,NULL,PPB
ppm,parts per million,NULL,PPM
ppmv,Microlitre per Litre,NULL,MicroL-PER-L
ppu,parts per unit,NULL,NULL
psi,pound force per square inch (lbf/in²),NULL,PSI
psi/°F,psi per degree fahrenheit,NULL,NULL
PSU,practical salinity unit,NULL,PSU
pt,point,NULL,PT
PTV,pendulum test value,NULL,NULL
PUE,power usage effectiveness,NULL,NULL
px,pixel,NULL,NULL
PYG,guarani,₲,Guarani
QAR,qatari rial,NULL,NULL
qt,quart,NULL,QT_US
rad,radian,NULL,RAD
rad/s,radian per second,NULL,RAD-PER-SEC
rad/s²,radian per square second,NULL,RAD-PER-SEC2
RON,romanian new leu,NULL,RomanianNeLeu
rpm,revolution per minute,NULL,REV-PER-MIN
Rpm,Rates per minute,NULL,NULL
RSD,serbian dinar,din,SerbianDinar
RUB,russian ruble,NULL,RussianRuble
RWF,rwanda franc,NULL,RwandaFranc
s,second,s,SEC
S,siemens,NULL,S
S/m,siemens per metre,NULL,S-PER-M
SAR,saudi riyal,NULL,SaudiRyal
SBD,solomon islands dollar,NULL,SolomonIslandsDollar
SCR,seychelles rupee,NULL,SeychellesRupee
SDG,sudanese pound,NULL,SudanesePound
SEK,swedish krona,NULL,SwedishKrona
SGD,singapore dollar,NULL,SingaporeDollar
SHP,saint helena pound,NULL,SaintHelenaPound
SLL,leone,Le,Leone
SOS,somali shilling,NULL,SomaliShilling
sr,steradian,NULL,SR
SRD,surinam dollar,NULL,SurinamDollar
STD,dobra,Db,Dobra
SYP,syrian pound,NULL,SyrianPound
SZL,lilangeni,NULL,Lilangeni
t,short ton,NULL,TON_SHORT
T,tesla,NULL,T
TB,terabyte,NULL,TeraBYTE
THB,baht,฿,THB
therm,therm,NULL,NULL
therm/h,therms per hour,NULL,NULL
thousand cubic feet natural gas,thousand cubic feet natural gas,NULL,NULL
TJS,somoni,ЅМ,Somoni
TMT,manat,NULL,Manat
TND,tunisian dinar,NULL,TunisianDollar
tonne,metric tonne,NULL,TONNE
tonne/h,metric tonne per hour,NULL,TONNE-PER-HR
tonref,ton of refrigeration,NULL,TON_FG
tonrefh,tons refrigeration hour,NULL,NULL
TPI,turns per inch,NULL,NULL
TRY,turkish lira,₤,NewTurkishLira
TTD,trinidad and tobago dollar,NULL,TrinidadAndTobagoDollar
TWD,taiwan dollar,NULL,NewTaiwanDollar
TZS,tanzanian shilling,NULL,TanzanianShilling
UAH,hryvnia,₴,Hryvnia
u,atomic mass unit,μ,AMU
UGX,uganda shilling,NULL,UgandaShilling
unitless,unitless,-,NULL
USD,us dollar,$,USDollar
UYU,peso uruguayo,NULL,UruguayPeso
UZS,uzbekistan som,NULL,UzbekistanSom
V,V,NULL,V
V/K,volt per degree kelvin,NULL,V-PER-K
V/m,volt per metre,NULL,V-PER-M
VA,volt ampere,NULL,V-A
VAh,volt ampere hour,NULL,V-A-HR
VAR,volt ampere reactive,NULL,V-A_Reactive
VARh,volt ampere reactive hour,NULL,V-A_Reactive-HR
VEF,bolivar fuerte,NULL,NULL
VND,dong,₫,VietnameseDong
Volt,volt,V,V
VUV,vatu,Vt,Vatu
W,watt,NULL,W
W/cfm,watt per cubic feet per minute,NULL,NULL
W/ft²,watt per square foot,NULL,NULL
W/ft² irr,watt per square foot irradiance,NULL,NULL
W/K,W/K,NULL,W-PER-K
W/m,W/m,NULL,W-PER-M
W/m²,watt per square metre,NULL,W-PER-M2
W/m² irr,watt per square metre irradiance,NULL,NULL
W/m²K,watt per square metre kelvin,NULL,W-PER-M2-K
W/m²K²,watt per square metre square kelvin,NULL,NULL
W/m³/s,watt per cubic metre per second,NULL,NULL
W/mK,watt per metre kelvin,NULL,W-PER-M-K
Wb,weber,NULL,WB
Wh,watt hour,NULL,W-HR
Wh/ft²,watt hours per square foot,NULL,NULL
Wh/m²,watt hours per square metre,NULL,NULL
wk,week,NULL,NULL
Wp,Wp,NULL,NULL
WST,tala,NULL,NULL
XAF,cfa franc bceao,NULL,XAF
XCD,east caribbean dollar,NULL,EastCaribbeanDollar
XPF,cfp franc,NULL,XPF
yd,yard,NULL,YD
yd²,square yard,NULL,YD2
yd³,cubic yard,NULL,YD3
YER,yemeni rial,NULL,YemeniRial
yr,year,NULL,YR
ZAR,rand,NULL,SouthAfricanRand
ZMW,zambian kwacha,ZK,ZambianKwacha
ZWL,zimbabwe dollar,NULL,ZimbabweDollar
Δ°C,celsius degrees,NULL,DEG_C
Δ°F,fahrenheit degrees,NULL,DEG_F
ΔK,kelvin degrees,NULL,K
μT,micro tesla,NULL,MicroT
